Plot	Compl.plot	Compo.nat	Conf.nat
AL1	6.84	100	0
AL10	6.84	100	0
AL2	7.460	100	1
AL3	6.326	100	1
AL4	6.415	100	1
AL5	9.134	100	1
AL6	7.325	100	2
AL7	2.101	31	0
AL8	7.671	92.1	1
AL9	6.491	79.1	1
SJ1	4.550	0	0
SJ2	5.237	31	0
SJ3	4.550	0	0
SJ4	4.550	0	0
SJ5	4.550	0	0
SJ6	0.137	0	0
SP1	1.142	30	0
SP10	4.302	54	1
SP11	7.647	86.7	1
SP12	6.473	81	3
SP13	8.430	100	1
SP14	8.430	100	1
SP2	3.743	42	1
SP3	1.057	11	0
SP4	1.000	0	0
SP5	1.000	0	0
SP6	3.549	5	0
SP7	1.214	5	0
SP8	1.050	10	0
SP9	1.855	13	1
